fold,precision,recall,f1
1,0.8369224336190675,0.9470073338064822,0.8885682574916759
2,0.8471634208298052,0.9467707594038325,0.8942017651659032
3,0.8439220669207963,0.9427489945587887,0.8906023019331769
4,0.8462349715249947,0.9493610979649787,0.8948366231738597
5,0.8386621792175011,0.9434453383814482,0.8879732739420936
6,0.8364819479429051,0.9429720776147658,0.8865406006674083
7,0.844205193160228,0.9462849029815428,0.8923351556398528
8,0.840510033444816,0.9514907714150497,0.8925638179800222
9,0.8557446808510638,0.9517274017983909,0.9011875420120995
10,0.842204923206396,0.9472314245149077,0.8916360396480677
average,0.8432051850717575,0.9469040102440186,0.8920445377654159
