fold,precision,recall,f1
1,0.7694569085563979,1.0,0.8697096887023434
2,0.7693021816493888,1.0,0.8696108439003061
3,0.7693021816493888,1.0,0.8696108439003061
4,0.7693021816493888,1.0,0.8696108439003061
5,0.7693021816493888,1.0,0.8696108439003061
6,0.7693021816493888,1.0,0.8696108439003061
7,0.7693021816493888,1.0,0.8696108439003061
8,0.7693021816493888,1.0,0.8696108439003061
9,0.7693021816493888,1.0,0.8696108439003061
10,0.7693021816493888,1.0,0.8696108439003061
average,0.7693176543400897,1.0,0.8696207283805097
