fold,precision,recall,f1
1,0.8311900387834252,0.9635589209654519,0.8924931506849315
2,0.8315982853643601,0.9640321817321345,0.8929315068493151
3,0.8333674933387989,0.9621391386654047,0.8931356397583745
4,0.8281218066625792,0.9585994795363142,0.8885964912280702
5,0.8260958205912334,0.9585994795363142,0.8874288217257994
6,0.8264344262295082,0.9543303360151444,0.8857895892817922
7,0.8277970246586509,0.9611926171320397,0.8895215153837731
8,0.8277834525025536,0.9588263132986276,0.8884990680846399
9,0.8272782626344631,0.9645054424988169,0.8906369496339998
10,0.829582651391162,0.9595362044486512,0.8898398068904981
average,0.8289249262156735,0.9605320113828899,0.8898872539521193
