fold,precision,recall,f1
1,0.9251071509136025,0.9704212020823474,0.9472225430188244
2,0.9178451178451178,0.9675816374822527,0.9420573666628269
3,0.9216662893366538,0.9633222905821107,0.9420340159666782
4,0.9201546860782529,0.9569434587177668,0.9381885654644555
5,0.9233198015336039,0.9685356044475988,0.9453873686641265
6,0.9242560865644724,0.9701845716990062,0.9466635880858923
7,0.9186882300089847,0.967818267865594,0.9426135054159944
8,0.9243413645575321,0.9713677236157122,0.9472712587977385
9,0.9209521670783741,0.9704212020823474,0.9450397511234013
10,0.9222096956031567,0.967818267865594,0.9444636877958665
average,0.9218540589519751,0.967441422644033,0.9440941650995806
