fold,precision,recall,f1
1,0.9200815494393476,0.9060429632603895,0.9130082945579607
2,0.9210231325792316,0.9072475406544871,0.9140834386852086
3,0.9227712684666327,0.9091547881951415,0.9159124235222733
4,0.9242950551695954,0.9081509737000603,0.9161518987341772
5,0.9250974758875437,0.9050391487653082,0.9149583925309519
6,0.9192248852626211,0.9047380044167838,0.9119239135933627
7,0.9170376365843788,0.9098574583416984,0.9134334374685075
8,0.920159885210618,0.9012246536839992,0.9105938435011918
9,0.9198527908403189,0.9033229595422146,0.9115129412956491
10,0.9227067977067978,0.9048288324465416,0.9136803689999493
average,0.9212250477147086,0.9059607323006624,0.9135258952889233
