fold,precision,recall,f1
1,0.7427855618446692,0.8035535033125878,0.771975505087034
2,0.7439523632303684,0.8026500702670146,0.7721873491067117
3,0.7423876717415522,0.8027504517165228,0.7713899874602103
4,0.7453548866592344,0.8053603694037342,0.7741966611984946
5,0.7419505366308913,0.7980325235896406,0.768970353532911
6,0.7422218069700084,0.7974302348925918,0.768836196467457
7,0.7364384068015895,0.7999397711302951,0.7668767742866767
8,0.739380983362766,0.7985344308371813,0.76782008590319
9,0.7465766272744325,0.7991165545627948,0.7719536439897202
10,0.7454731172810846,0.8059431783957434,0.7745296671490594
average,0.7426521961796597,0.8013311088108106,0.7708736224181465
