fold,precision,recall,f1
1,0.7730603231958245,0.7731379241116242,0.773099121706399
2,0.7708916433426629,0.7741417386067054,0.7725132725633577
3,0.7711805209060972,0.7757478417988356,0.7734574388229996
4,0.7737583691416009,0.7772535635414576,0.7755020281436226
5,0.772858709741749,0.7780566151375226,0.7754489520284128
6,0.7753405448717948,0.7770528006424413,0.7761957284668605
7,0.7700502512562815,0.769122666131299,0.7695861791884291
8,0.7748390989541432,0.7734390684601485,0.7741384507183764
9,0.7733346729629258,0.772713582973597,0.7730240032138195
10,0.7719752840342834,0.7776327677943982,0.7747936984246061
average,0.7727289418407363,0.7748298569198029,0.7737758873276883
